title,IMDBid,year,summary,maturity,type,new to uNoGS,runtime,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
Who Is Like Abu Riad?,,2007,"What starts off as a trip to attend a funeral in Egypt turns into a full-blown treasure hunt for war veteran Abu Riad and his novice, Abbas.",Recommended for ages 13 and up,movie,2022/6/24,1h37m14s,Middle Eastern Movies,Comedies,Lebanese,,,,,,,,,,,,,,,,,,,
Kenan and Kel,tt0115231,1997,"Aw, here it goes! Best friends Kenan and Kel always end up in wacky situations together — but in their case, two heads may not be better than one.",Suitable for General Audiences,series,2022/6/21,,,,,,,,,,,,,,,,,,,,,,,
All That,tt0111875,1997,A cast of multi-talented kids feature in hilariously wacky skits like Good Burger and Ask Ashley in this sketch comedy series.,Suitable for General Audiences,series,2022/6/21,,Comedy Programmes,Kids' TV,,,,,,,,,,,,,,,,,,,,
Dazzling Mirage,tt10183654,2015,"A young Nigerian woman with sickle cell anemia refuses to let it define her as she strives against prejudice for a career, marriage and motherhood.",Recommended for ages 16 and up,movie,2022/5/25,1h57m1s,African Movies,Social Issue Dramas,Dramas,Independent Movies,Movies Based on Books,Nollywood,,,,,,,,,,,,,,,,
Misconception,tt3108430,2015,"To uncover the truth about her ex-fiance, A Lebanese woman travels to Egypt after learning that he was spotted there, years after his disappearance.",Recommended for ages 13 and up,movie,2022/5/20,1h54m59s,Romantic Comedies,Middle Eastern Movies,Comedies,Romantic Movies,Egyptian,,,,,,,,,,,,,,,,,
Halal Love (and Sex),tt5105218,2015,This film follows four tragic-comic interconnected stories of Beiruti men and women trying to manage between romantic desires and religious devotion.,Recommended for ages 13 and up,movie,2022/5/19,1h34m33s,Romantic Comedies,Dramas,Middle Eastern Movies,Comedies,Independent Movies,Romantic Movies,Lebanese,,,,,,,,,,,,,,,
The Adolf Eichmann Trial,tt1941583,2011,This historical documentary follows the events of the monumental Adolf Eichmann trial: a turning point in the collective memory of the Holocaust.,Recommended for ages 16 and up,movie,2022/5/1,1h28m54s,Historical Documentaries,Courtroom Movies,Documentary Films,French,,,,,,,,,,,,,,,,,,
Pedro el escamoso,tt0283770,2001,"An uneducated but charming man who can talk his way into and out of anything falls in love at first sight with a pretty exec, and becomes her chauffeur.",Recommended for ages 12 and up,series,2022/4/1,,TV Dramas,Colombian,,,,,,,,,,,,,,,,,,,,
TIGER & BUNNY - The Rising -,tt12688688,2014,"New corporate leadership shakes up Tiger and Barnaby's partnership. Meanwhile, the city is hit by a series of incidents resembling a legendary curse.",Recommended for ages 13 and up,movie,2022/4/1,1h40m26s,Action & Adventure,Action Anime,Sci-Fi Anime,Anime Movies,Sci-Fi Movies,Japanese,,,,,,,,,,,,,,,,
TIGER & BUNNY - The Beginning -,tt12688688,2012,"In a world where superhero work is commercialized, aging hero Wild Tiger must team up with the arrogant, younger Barnaby Brooks Jr. to take on a thief.",Recommended for ages 13 and up,movie,2022/4/1,1h31m43s,Action & Adventure,Action Anime,Sci-Fi Anime,Anime Movies,Sci-Fi Movies,Japanese,,,,,,,,,,,,,,,,
Old Enough!,tt0087837,2013,"Children go on errands all by themselves for the very first time as a camera crew follows along in this beloved, long-running reality show from Japan.",Recommended for all audiences,series,2022/3/31,,Reality TV,Family Watch Together TV,Japanese,,,,,,,,,,,,,,,,,,,
Yodha,tt0267130,1991,"When his journalist father is killed for exposing an esteemed judge as a criminal, an upstanding lawyer makes new enemies and allies as he seeks revenge.",Parents strongly cautioned. May not be suitable for ages 14 and under.,movie,2022/1/19,2h28m42s,Action & Adventure,Bollywood Films,Dramas,Hindi-language Films,Indian,,,,,,,,,,,,,,,,,
Dushmani: A Violent Love Story,tt0112916,1996,"A couple's forbidden love adds new fuel to the generation-spanning enmity between their two families, triggering fights, betrayals and tragedies.",Parents strongly cautioned. May not be suitable for ages 14 and under.,movie,2022/1/19,2h43m8s,Action & Adventure,Hindi-language Films,Bollywood Films,Romantic Films,Indian,,,,,,,,,,,,,,,,,
Damini,tt0106655,1993,"Stymied by her in-laws while seeking justice after witnessing a rape, a new bride meets a troubled lawyer who helps her fight the case in court.",Parents strongly cautioned. May not be suitable for ages 14 and under.,movie,2022/1/19,2h49m5s,Social Issue Dramas,Bollywood Films,Dramas,Courtroom Films,Classic Films,Hindi-language Films,Indian,,,,,,,,,,,,,,,
The Hospital,tt0067217,2006,"At a national university-affiliated hospital in Taiwan, doctors struggle for power and prestige while navigating relationships. Based on a novel.",Recommended for ages 13 and up,series,2021/12/31,,TV Dramas,Political TV Shows,Medical TV Shows,Chinese TV Shows,TV Shows Based on Books,Taiwanese,,,,,,,,,,,,,,,,
Boss & Me,tt1833285,2014,"The president of a large company and the woman he hired to be a blood donor for his sister fall in love, but his childhood crush looms in the background.",Recommended for ages 7 and up,series,2021/12/31,,TV Dramas,Romantic TV Dramas,Chinese TV Shows,TV Shows Based on Books,,,,,,,,,,,,,,,,,,
Black & White,tt0375611,2009,"Two cops who are as different as night and day must team up in a case involving the highest rungs of the government, military and law enforcement.",Recommended for ages 13 and up,series,2021/12/31,,TV Mysteries,TV Comedies,TV Action & Adventure,Crime TV Shows,Chinese TV Shows,Taiwanese,,,,,,,,,,,,,,,,
Zach Stone Is Gonna Be Famous,tt1748277,2013,"Drawn to the perks of stardom, teenager Zach Stone pays a camera crew to shadow him in a bid to be famous... despite having no discernible talent.",Parents strongly cautioned. May not be suitable for ages 14 and under.,series,2021/12/24,,Mockumentaries,Sitcoms,Comedy Programmes,Teen Programmes,,,,,,,,,,,,,,,,,,
Badanamu ABC TV,tt10399654,2015,"A is for apple, and B is for Bada and his animal friends! Learn ABCs, sounds, numbers and simple phrases with fun, easy songs.",Recommended for all audiences,series,2021/12/22,,Education for Kids,TV Cartoons,Kids' TV,Kids Music,Korean,,,,,,,,,,,,,,,,,
Badanamu Pop,tt14866676,2014,"Hop, pop and party with Bada and his adorable friends in a series of exciting singalongs that are as educational as they are fun!",Recommended for all audiences,series,2021/12/22,,Education for Kids,TV Cartoons,Kids' TV,Kids Music,Korean,,,,,,,,,,,,,,,,,
Ezra,tt5892746,2007,"Kidnapped as a child by a rebel group, Ezra testifies before a truth and reconciliation commission about the brutal experience of becoming a soldier.",Recommended for ages 13 and up,movie,2021/12/11,1h44m59s,African Movies,Social Issue Dramas,Dramas,Nollywood,,,,,,,,,,,,,,,,,,
Falafel,tt0922424,2006,"In Beirut, a city haunted by war, a young man's simple quest to meet a woman at an after-hours party takes on sinister overtones as true danger looms.",Recommended for ages 16 and up,movie,2021/12/9,1h19m47s,Dramas,Middle Eastern Movies,Independent Movies,Lebanese,,,,,,,,,,,,,,,,,,
Escalona,tt0238780,1991,"The improbable real life of Rafael Escalona, who had no music education and became Colombia's king of vallenato music, chronicling everyday life.",Recommended for ages 12 and up,series,2021/12/2,,TV Dramas,Romantic TV Dramas,Music & Musicals,Colombian,,,,,,,,,,,,,,,,,,
Kannathil Muthamittal,tt0312859,2002,"In this powerful tale about abandonment and reunion, a 9-year-old's blissful world collides with reality when she learns she was adopted as an infant.",Recommended for ages 13 and up,movie,2021/11/17,2h10m3s,,,,,,,,,,,,,,,,,,,,,,
"Darling, Something's Wrong with Your Head",tt1670646,2011,"Set in Gaza, this film is a modern retelling of the forbidden love story between 7th century Arab poet Qays ibn al-Mulawwah and his one and only Layla.",Recommended for ages 13 and up,movie,2021/11/1,1h14m55s,Social Issue Dramas,Dramas,Middle Eastern Movies,Independent Movies,Romantic Movies,,,,,,,,,,,,,,,,,
Mars at Sunrise,tt2714424,2014,"Through poems and paintings, a Palestinian artist shares his tale of arrest and torture by an Israeli soldier with a young Jewish American poet.",Not suitable for ages 13 and under,movie,2021/10/14,1h14m49s,Action & Adventure,Social Issue Dramas,Dramas,Middle-Eastern Films,,,,,,,,,,,,,,,,,,
Xenos,tt3289618,2014,Award-winning filmmaker Mahdi Fleifel looks at the harsh lives of young Palestinian men who were smuggled into Athens in search of a new beginning.,Recommended for ages 16 and up,movie,2021/10/14,12m8s,Documentary Films,British,,,,,,,,,,,,,,,,,,,,
Giraffada,tt3132086,2013,"After an air raid kills a male giraffe in the West Bank's only zoo, a vet and his son embark on a journey to find a companion for the surviving mate.",Recommended for ages 13 and up,movie,2021/10/14,1h23m48s,Children & Family Movies,Dramas,Middle Eastern Movies,Family Movies,,,,,,,,,,,,,,,,,,
Frontiers of Dreams and Fears,tt0477653,2001,"This documentary explores the enduring friendship that evolves between two Palestinian girls in refugee camps — one in Beirut, the other in Bethlehem.",Recommended for ages 7 and up,movie,2021/10/14,55m58s,,,,,,,,,,,,,,,,,,,,,,
Divine Intervention,tt0870105,2002,"Amid the despair of Nazareth, where war has eroded the sense of community, love blossoms despite checkpoints in this comedy tinged with pathos.",Recommended for ages 16 and up,movie,2021/10/14,1h29m32s,Dramas,Comedies,Independent Movies,French,,,,,,,,,,,,,,,,,,
Condom Lead,tt2787476,2013,"In a parody of the Gaza War, a married Palestinian couple's attempts at intimacy are repeatedly interrupted by the deafening noise of Israeli shelling.",Recommended for ages 7 and up,movie,2021/10/14,14m47s,Dramas,Middle Eastern Movies,Military Movies,Independent Movies,,,,,,,,,,,,,,,,,,
Children of Shatila,tt0243174,1998,"Fifty years after their grandparents' exile from Palestine, two streetwise kids living in Beirut's Shatila refugee camp document stories of loss and war.",Recommended for ages 7 and up,movie,2021/10/14,47m7s,Social & Cultural Docs,Middle Eastern Movies,Documentary Films,,,,,,,,,,,,,,,,,,,
Chronicle of a Disappearance,tt0115895,1996,"After living in New York for years, Palestinian filmmaker Elia Suleiman documents his return by recording wanderings through Nazareth and Jerusalem.",Recommended for ages 13 and up,movie,2021/10/14,1h28m1s,Social Issue Dramas,Dramas,Middle Eastern Movies,,,,,,,,,,,,,,,,,,,
Ave Maria,tt4419794,2015,"On Shabbat, Israeli settlers crash their car outside a Palestinian convent, disturbing the vow of silence of five nuns who offer an unorthodox solution.",Recommended for ages 7 and up,movie,2021/10/14,14m49s,Middle Eastern Movies,Comedies,Independent Movies,,,,,,,,,,,,,,,,,,,
A World Not Ours,tt2233762,2012,This intimate portrait of three generations of exiles at Ain al-Hilweh Palestinian refugee camp in Lebanon uses personal recordings and family archives.,Recommended for ages 16 and up,movie,2021/10/14,1h32m35s,Social & Cultural Docs,Documentary Films,British,,,,,,,,,,,,,,,,,,,
3000 Nights,tt3815424,2015,"Wrongly accused, a Palestinian newlywed is incarcerated in an Israeli high-security prison and soon discovers that she's pregnant. Based on real events.",Recommended for ages 16 and up,movie,2021/10/14,1h39m30s,Dramas,Middle Eastern Movies,Independent Movies,,,,,,,,,,,,,,,,,,,
Muthu,tt0140399,1995,"A landowner and his worker fall for the same woman, setting the stage for a love triangle, a murder plot and a resurgence of secrets from the past.",Parental Guidance suggested,movie,2021/10/13,2h38m38s,Social Issue Dramas,Romantic Comedies,Dramas,Comedies,Romantic Films,Tamil-language Films,Indian,,,,,,,,,,,,,,,
Monster,tt0340855,2004,A brilliant Japanese neurosurgeon is drawn into darkness when he tries to solve a series of murders involving a patient whose life he once saved.,Not recommended for ages 14 and under,series,2021/10/1,,Drama Anime,Anime Series,Crime TV Shows,Medical TV Shows,TV Thrillers,Anime Based on Comics,Mystery & Thriller Anime,Japanese,,,,,,,,,,,,,,
Seinfeld,tt0098904,1997,"The ""show about nothing"" is a sitcom landmark, with comic Jerry and his three sardonic friends finding laughs in both the mundane and the ridiculous.",Recommended for ages 13 and up,series,2021/10/1,,Sitcoms,Comedy Programmes,US TV Programmes,,,,,,,,,,,,,,,,,,,
Eternal Summer,tt5796522,2006,Inseparable childhood friends Shou-heng and Cheng-shing have their world thrown into chaos when a new girl comes to town and falls for Shou-heng.,Recommended for ages 13 and up,movie,2021/10/1,1h36m19s,Chinese Films,Dramas,LGBTQ Films,Romantic Films,Films Based on Books,Taiwanese,,,,,,,,,,,,,,,,
Sankofa,tt0108041,1993,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Strong Themes, Strong Violence, Strong Sexual Violence",movie,2021/9/24,2h4m32s,,,,,,,,,,,,,,,,,,,,,,
Deadly Sins,tt0112830,2002,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,Recommended for ages 16 and up,series,2021/8/27,,TV Dramas,Colombian,,,,,,,,,,,,,,,,,,,,
Mighty Raju,tt6543086,2014,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",Suitable for ages 7 and up,series,2021/8/5,,TV Cartoons,Kids' TV,Hindi-language TV Programmes,Indian,,,,,,,,,,,,,,,,,,
American Masters: Inventing David Geffen,tt2515126,2012,"The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America.",Coarse Language,movie,2021/8/4,1h54m49s,Biographical Documentaries,Docuseries,US TV Shows,,,,,,,,,,,,,,,,,,,
Khawatir Compilation,tt1415054,2009,Saudi media personality Ahmad Al Shugairi travels around the world on a quest for knowledge in various cities while offering his personal reflections.,Recommended for ages 16 and up,series,2021/7/30,,Reality TV,Middle Eastern TV Shows,Saudi,,,,,,,,,,,,,,,,,,,
Pomegranates and Myrrh,tt1320282,2009,"After her husband is placed under Israeli detention, a Palestinian newlywed is left to deal with the fallout, resorting to her passion for Dabke to cope.",Recommended for ages 13 and up,movie,2021/7/30,1h34m56s,,,,,,,,,,,,,,,,,,,,,,
Department,tt2186731,2012,"Two cops form a task force to take down two mobsters, but when a sinister politician enters the picture, dubious loyalties and motives come to light.",For Mature Audiences. May not be suitable for ages 17 and under.,movie,2021/7/27,2h22m55s,Action & Adventure,Bollywood Films,Hindi-language Films,Indian,,,,,,,,,,,,,,,,,,
